person_id,keypoint_id,keypoint_name,x,y,confidence
0,0,nose,1116.0068359375,478.5486145019531,0.40478137135505676
0,1,left_eye,1109.7926025390625,467.75506591796875,0.14828382432460785
0,2,right_eye,1125.942626953125,464.46490478515625,0.2877586781978607
0,3,left_ear,1076.9501953125,435.34735107421875,0.36661213636398315
0,4,right_ear,1123.36865234375,439.65118408203125,0.6595839262008667
0,5,left_shoulder,1026.6077880859375,440.486572265625,0.9622899889945984
0,6,right_shoulder,1075.004150390625,465.8357849121094,0.9828668236732483
0,7,left_elbow,957.4815673828125,493.2530517578125,0.7451272010803223
0,8,right_elbow,1034.30908203125,566.8493041992188,0.9292187690734863
0,9,left_wrist,1048.5078125,560.584716796875,0.5265300869941711
0,10,right_wrist,1113.955322265625,589.3096923828125,0.7464630007743835
0,11,left_hip,816.6563720703125,503.6861572265625,0.9897916316986084
0,12,right_hip,839.3336791992188,501.1106872558594,0.9928144812583923
0,13,left_knee,734.046630859375,643.9220581054688,0.9752004742622375
0,14,right_knee,740.58544921875,663.76806640625,0.9831172227859497
0,15,left_ankle,469.3503112792969,704.0011596679688,0.9292065501213074
0,16,right_ankle,455.2323303222656,721.4652099609375,0.9411646723747253
